#	CAMINHO NO XML	CAMPO	REGRAS DE NEGÓCIO PARA A NOTA FISCAL DE SERVIÇO ELETRÔNICA DO  SISTEMA NACIONAL NFS-e						NÍVEL DA REGRA	EMISSORES PÚBLICOS NACIONAIS NFS-e (SEFIN, WEB, APP)		ADN NFS-e		OBSERVAÇÕES DE NEGÓCIO
			Nível 1 - Regras de negócio para consistência do Leiaute NFS-e  Nível 2 - Regras de Negócio gerais para todos os municípios aderentes ao SN NFS-e  Nível 3 - Regras de Negócio específicas conforme legislação municipal do município parametrizada no SN NFS-e 							RNs EXECUTADAS NA RECEPÇÃO DE DPS EVIADAS PELOS EMITENTES (V), RNs EXECUTADAS NA GERAÇÃO DAS INFORMAÇÕES DE NFS-e PELOS EMISSORES PÚBLICOS NACIONAIS (V) E RNs NÃO EXECUTADAS (X)	NFS-e EMITIDA SOB CONDIÇÕES DE  DECISÃO JUDICIAL OU ADMINISTRATIVA (cStat = 102) RNs EXECUTADAS NA GERAÇÃO DE NFS-e PELOS EMISSORES PÚBLICOS NACIONAIS (SEFIN, WEB, APP) RNs EXECUTADAS (V) RNs NÃO EXECUTADAS (X)	RNs EXECUTADAS  NA RECEPÇÃO DE NFS-e COMPARTILHADAS  PELOS MUNICÍPIOS COM O  ADN NFS-e (V)  E RNs NÃO EXECUTADAS (X)	NFS-e EMITIDAS SOB CONDIÇÕES DE DECISÃO JUDICIAL OU ADMINISTRATIVA (cStat = 102) RNs EXECUTADAS  NA RECEPÇÃO DE NFS-e COMPARTILHADAS  PELOS MUNICÍPIOS COM O  ADN NFS-e (V) E RNs NÃO EXECUTADAS (X)	
			REGRAS DE NEGÓCIO		APLIC.	EFEITO	CÓD. ERRO	MSG. ERRO						
233	NFSe/infNFSe/DPS/infDPS/	serv	-		-	-		-	-	-	-	-	-	-
234	NFSe/infNFSe/DPS/infDPS/serv/	locPrest	-		-	-		-	-	-	-	-	-	-
235	NFSe/infNFSe/DPS/infDPS/serv/locPrest/	cLocPrestacao	Se informado, o código do município deve existir na tabela de municípios do IBGE ou possuir a codificação 0000000, que representa "Águas Marítimas".		Obrig.	Rej.	E0302	O código do local da prestação do serviço não existe conforme a tabela de municípios IBGE disponibilizada no ANEXO_A-MUNICIPIO_IBGE-PAISES_ISO2-SNNFSe.	1	V	V	V	V	-
236			Se informado o subitem 200101 para o código de tributação nacional (cTribNac),  então não é permitido informar 0000000, que representa "Águas Marítimas", para o local de prestação do serviço (cLocPrestacao).		Obrig.	Rej.	E1402	Quando é informado o subitem 200101 para o código de tributação nacional (cTribNac), não é permitido informar 0000000, que representa "Águas Marítimas", para o local de prestação do serviço (cLocPrestacao).		X	X	V	X	Para atender o dispositivo do Art 3º, § 2º, (No caso dos serviços a que se refere o subitem 22.01 da lista anexa, considera-se ocorrido o fato gerador e devido o imposto em cada Município em cujo território haja extensão de rodovia explorada.) o Sistema Nacional NFS-e considera o trecho de concessão de exploração de rodovia como uma localidade de prestação de serviço, assim como qualquer município brasileiro.  Para atender o dispositivo do Art 3º, § 3º, (Considera-se ocorrido o fato gerador do imposto no local do estabelecimento prestador nos serviços executados em águas marítimas, excetuados os serviços descritos no subitem 20.01) o Sistema Nacional NFS-e "Águas Marítimas" como uma localidade de prestação de serviço, assim como qualquer município brasileiro.  cLocPrestacao poderá assumir: qualquer código que represente um município da tabela de códigos de municípios do IBGE, qualquer código quer represente um trecho de concessão de exploração de rodovias do cadastro próprio do Sistema Nacional NFS-e ou 0000000, que representa "Águas Marítimas".
237	NFSe/infNFSe/DPS/infDPS/serv/locPrest/	cPaisPrestacao	Se informado, o código do país deve existir na tabela de país ISO2 e ser diferente de Brasil (BR).		Obrig.	Rej.	E0304	Informe um código de país existente diferente de Brasil (BR), conforme tabela de país ISO2.	1	V	V	V	V	-
238	NFSe/infNFSe/DPS/infDPS/serv/	cServ							-	-	-	-	-	-
239	NFSe/infNFSe/DPS/infDPS/serv/cServ/	cTribNac	Verificar se o código de tributação nacional informado existe e está administrado pelo município de incidência do ISSQN na data de competência informada na DPS, conforme a lista de serviços nacional do Sistema Nacional NFS-e.		Obrig.	Rej.	E0310	O código de tributação nacional informado não existe ou não está administrado pelo município de incidência do ISSQN na data de competência informada na DPS,  conforme a lista de serviços nacional do Sistema Nacional NFS-e.	2	V	X	X	X	-
240	NFSe/infNFSe/DPS/infDPS/serv/cServ/	cTribMun	Verificar se o código de tributação municipal informado existe e está administrado pelo município de incidência do ISSQN na data de competência informada na DPS.		Obrig.	Rej.	E0314	O código de tributação municipal informado não existe ou não está administrado pelo município de incidência do ISSQN na data de competência informada na DPS, 	3	V	X	X	X	-
241	NFSe/infNFSe/DPS/infDPS/serv/cServ/	xDescServ	-		-	-	-	-	-	-	-	-	-	-
242	NFSe/infNFSe/DPS/infDPS/serv/cServ/	cNBS	O código da lista NBS informado na DPS não existe, conforme tabela NBS do ANEXO_B-NBS2-LISTA_SERVICO_NACIONAL-SNNFSe do Manual Integrado do Sistema Nacional NFS-e.		Obrig.	Rej.	E0316	Código da lista NBS informado inexistente tabela de NBS do sistema.	2	V	X	V	X	-
243			Se o emitente for o prestador (tpEmit = 1) e qualquer um dos campos abaixo for informado na DPS,  País no exterior do endereço do tomador do serviço ou País no exterior do endereço do intermediário do serviço ou cPaisPrestacao é informado,  então é obrigatório informar na DPS um  item da NBS.		Obrig.	Rej.	E0318	É obrigatório informar na DPS um item da NBS para casos de exportação de serviço.	2	V	X	V	X	-
244			Se o emitente for o tomador (tpEmit = 2) ou o intermediário de serviço (tpEmit = 3), e qualquer um dos campos abaixo for informado na DPS  País no exterior do endereço do prestador do serviço ou cPaisPrestacao é informado,  então é obrigatório informar na DPS um item da NBS.		Obrig.	Rej.	E0320	É obrigatório informar na DPS um item da NBS para casos de importação de serviço.	2	V	X	V	X	-
245	NFSe/infNFSe/DPS/infDPS/serv/cServ/	cIntContrib	-		-	-	-	-	-	-	-	-	-	-
246	NFSe/infNFSe/DPS/infDPS/serv/	comExt	EXPORTAÇÃO DE SERVIÇO  Se o emitente for o prestador (tpEmit = 1), e qualquer um dos campos abaixo for informado na DPS   País no exterior do endereço do tomador do serviço, País no exterior do endereço do intermediário do serviço ou cPaisPrestacao é informado ou  tribISSQN for Exportação de serviço (tribISSQN = 3),  então o grupo de informações de comércio exterior devem ser informado.		Obrig.	Rej.	E0330	É obrigatório prestar informações de comércio exterior para as situações de exportação de serviços.	1	V	X	V	X	-
247			IMPORTAÇÃO DE SERVIÇO   Se o emitente for o tomador (tpEmit = 2) ou o intermediário de serviço (tpEmit = 3),  e qualquer um dos campos abaixo for informado na DPS  País no exterior do endereço do prestador do serviço ou cPaisPrestacao é informado,  então o grupo de informações de comércio exterior devem ser informados.		Obrig.	Rej.	E0331	É obrigatório prestar informações de comércio exterior para as situações de importação de serviços.	1	V	X	V	X	-
248	NFSe/infNFSe/DPS/infDPS/serv/comExt/	mdPrestacao	Se o valor do campo mdPrestacao for 0, então a DPS deve ser rejeitada.		Obrig.	Rej.	E0333	Valor 0 para o modo de prestação não é permitido na Sefin do Sistema Nacional NFS-e.	2	V	X	X	X	-
249	NFSe/infNFSe/DPS/infDPS/serv/comExt/	vincPrest	-		-	-	-	-	-	-	-	-	-	-
250	NFSe/infNFSe/DPS/infDPS/serv/comExt/	tpMoeda	-		-	-	-	-	-	-	-	-	-	-
251	NFSe/infNFSe/DPS/infDPS/serv/comExt/	vServMoeda	-		-	-	-	-	-	-	-	-	-	-
252	NFSe/infNFSe/DPS/infDPS/serv/comExt/	mecAFComexP	Se o valor do campo mecAFComexP for 0, então a DPS deve ser rejeitada.		Obrig.	Rej.	E0341	Valor 0 para o Mecanismo de apoio/fomento ao Comércio Exterior utilizado pelo prestador do serviço não é permitido na Sefin do Sistema Nacional NFS-e.	2	V	X	X	X	-
253	NFSe/infNFSe/DPS/infDPS/serv/comExt/	mecAFComexT	Se o valor do campo mecAFComexT for 0, então a DPS deve ser rejeitada.		Obrig.	Rej.	E0343	Valor 0 para o Mecanismo de apoio/fomento ao Comércio Exterior utilizado pelo tomador do serviço não é permitido na Sefin do Sistema Nacional NFS-e.	2	V	X	X	X	-
254	NFSe/infNFSe/DPS/infDPS/serv/comExt/	movTempBens	Se o valor do campo movTempBens for 0, então a DPS deve ser rejeitada.		Obrig.	Rej.	E0345	Valor 0 para o Vínculo da Operação à Movimentação Temporária de Bens não é permitido na Sefin do Sistema Nacional NFS-e.	2	V	X	X	X	-
255	NFSe/infNFSe/DPS/infDPS/serv/comExt/	nDI	Se movTempBens = 2, então o preenchimento de nDI é obrigatório		Obrig.	Rej.	E0352	O preenchimento do campo nDI (Número da Declaração de Importação) é obrigatório quando o campo (movTempBens) Vínculo da Operação à Movimentação Temporária de Bens for igual a 2.	2	V	X	X	X	-
256			Se movTempBens = 1, então o preenchimento de nDI e nRE não é permitido		Obrig.	Rej.	E0354	O preenchimento dos campos nDI (Número da Declaração de Importação) ou do nRE (úmero do Registro de Exportação) não é permitido quando o campo (movTempBens) Vínculo da Operação à Movimentação Temporária de Bens for igual a 1.	2	V	X	X	X	-
257	NFSe/infNFSe/DPS/infDPS/serv/comExt/	nRE							2	V	X	X	X	-
258			Se movTempBens = 3, então o preenchimento de nRE é obrigatório		Obrig.	Rej.	E0356	O preenchimento do campo nRE (úmero do Registro de Exportação) é obrigatório quando o campo (movTempBens) Vínculo da Operação à Movimentação Temporária de Bens for igual a 3.	2	V	X	X	X	-
259	NFSe/infNFSe/DPS/infDPS/serv/comExt/	mdic	-		-	-		-	-	-	-	-	-	-
